trip_id,user_id,start_ts,end_ts,weekday,trip_purpose,main_mode,modes_used,distance_km,duration_min,estimated_cost_eur,ticket_product_used,is_commute,is_recurring_pattern,planning_style,priority_reason,generation_batch_index,generation_interval_start_ts,generation_interval_end_ts,origin.city,origin.place_type,origin.label,destination.city,destination.place_type,destination.label
trip_50b10228373a_00001,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-03T10:00:00,2026-01-03T11:00:00,saturday,leisure,shared_bike,walking|shared_bike|walking|walking,6.6,60,2.0,none,False,False,spontaneous,Weekend park visit using a shared bike aligns with her medium leisure intensity and sustainability focus.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,park,Tiergarten Park
trip_50b10228373a_00002,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-03T14:00:00,2026-01-03T14:25:00,saturday,shopping,tram,walking|tram|walking,3.7,25,0.0,monthly_pass,False,False,planned,"Uses tram and short walks to reach the mall, matching her medium weekend activity frequency.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,shopping,Mall of Berlin
trip_50b10228373a_00003,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-04T11:00:00,2026-01-04T11:25:00,sunday,leisure,subway,walking|subway|walking,5.7,25,0.0,monthly_pass,False,False,planned,Cultural outing using subway aligns with her preference for low‑impact travel on Sundays.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,culture,Pergamon Museum
trip_50b10228373a_00004,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-04T18:00:00,2026-01-04T18:23:00,sunday,leisure,shared_scooter,walking|tram|shared_scooter,3.8,23,2.0,monthly_pass,False,False,spontaneous,"Combines tram and a shared scooter for a quick, eco‑friendly dinner trip with friends.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,restaurant,Friends' Dinner Spot
trip_50b10228373a_00005,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-05T08:15:00,2026-01-05T08:40:00,monday,commute,subway,walking|subway|shared_bike,6.9,25,0.0,monthly_pass,True,True,routine,"Uses the monthly pass and a short e‑bike segment for a fast, eco‑friendly commute to the office.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,work,Tech Hub Office
trip_50b10228373a_00006,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-05T17:30:00,2026-01-05T18:00:00,monday,leisure,tram,walking|tram|shared_scooter|walking,4.6,30,2.0,monthly_pass,False,False,planned,Combines tram with a shared scooter to reach the gym quickly while staying sustainable.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,work,Tech Hub Office,Berlin,fitness,FitX Gym
trip_50b10228373a_00007,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-05T19:30:00,2026-01-05T20:05:00,monday,return_home,subway,walking|subway|walking,6.6,35,0.0,monthly_pass,False,False,routine,Uses the subway and a short walk to get home efficiently after the workout.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,fitness,FitX Gym,Berlin,home,Apartment Berlin-Mitte
trip_50b10228373a_00008,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-06T08:20:00,2026-01-06T08:45:00,tuesday,commute,subway,walking|subway|shared_bike,6.9,25,0.0,monthly_pass,True,True,routine,Repeats the efficient mixed‑mode commute using the monthly pass and e‑bike.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,work,Tech Hub Office
trip_50b10228373a_00009,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-06T12:30:00,2026-01-06T12:52:00,tuesday,leisure,tram,walking|tram|walking,3.2,22,0.0,monthly_pass,False,False,planned,Quick tram ride with short walks fits a lunch break while staying eco‑friendly.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,work,Tech Hub Office,Berlin,restaurant,Café am Gendarmenmarkt
trip_50b10228373a_00010,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-06T13:15:00,2026-01-06T13:37:00,tuesday,work_related,tram,walking|tram|walking,3.2,22,0.0,monthly_pass,False,False,routine,Returns to work after lunch using the same efficient tram‑walk combo.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,restaurant,Café am Gendarmenmarkt,Berlin,work,Tech Hub Office
