leg_id,trip_id,sequence_no,start_ts,end_ts,mode,origin_label,destination_label,distance_km,duration_min,ticket_required,ticket_product_used,leg_note
trip_50b10228373a_00001_leg_001,trip_50b10228373a_00001,1,2026-01-03T10:00:00,2026-01-03T10:10:00,walking,Apartment Berlin-Mitte,Park Entrance,0.8,10,False,none,Walk to the park entrance.
trip_50b10228373a_00001_leg_002,trip_50b10228373a_00001,2,2026-01-03T10:10:00,2026-01-03T10:25:00,shared_bike,Park Entrance,Central Park Area,3.0,15,False,none,Shared bike ride through the park.
trip_50b10228373a_00001_leg_003,trip_50b10228373a_00001,3,2026-01-03T10:25:00,2026-01-03T10:35:00,walking,Central Park Area,Park Exit,0.8,10,False,none,Walk to the exit.
trip_50b10228373a_00001_leg_004,trip_50b10228373a_00001,4,2026-01-03T10:35:00,2026-01-03T11:00:00,walking,Park Exit,Apartment Berlin-Mitte,2.0,25,False,none,Walk back home.
trip_50b10228373a_00002_leg_001,trip_50b10228373a_00002,1,2026-01-03T14:00:00,2026-01-03T14:05:00,walking,Apartment Berlin-Mitte,Tram Stop G,0.4,5,False,none,Walk to tram stop.
trip_50b10228373a_00002_leg_002,trip_50b10228373a_00002,2,2026-01-03T14:05:00,2026-01-03T14:20:00,tram,Tram Stop G,Mall Tram Stop,3.0,15,True,monthly_pass,Tram ride to the shopping centre.
trip_50b10228373a_00002_leg_003,trip_50b10228373a_00002,3,2026-01-03T14:20:00,2026-01-03T14:25:00,walking,Mall Tram Stop,Mall of Berlin,0.3,5,False,none,Short walk into the mall.
trip_50b10228373a_00003_leg_001,trip_50b10228373a_00003,1,2026-01-04T11:00:00,2026-01-04T11:05:00,walking,Apartment Berlin-Mitte,U‑Bahnhof Home,0.4,5,False,none,Walk to the nearest U‑Bahnhof.
trip_50b10228373a_00003_leg_002,trip_50b10228373a_00003,2,2026-01-04T11:05:00,2026-01-04T11:20:00,subway,U‑Bahnhof Home,Museum U‑Bahnhof,5.0,15,True,monthly_pass,Subway ride to the museum district.
trip_50b10228373a_00003_leg_003,trip_50b10228373a_00003,3,2026-01-04T11:20:00,2026-01-04T11:25:00,walking,Museum U‑Bahnhof,Pergamon Museum,0.3,5,False,none,Short walk to the museum entrance.
trip_50b10228373a_00004_leg_001,trip_50b10228373a_00004,1,2026-01-04T18:00:00,2026-01-04T18:05:00,walking,Apartment Berlin-Mitte,Tram Stop H,0.4,5,False,none,Walk to tram stop.
trip_50b10228373a_00004_leg_002,trip_50b10228373a_00004,2,2026-01-04T18:05:00,2026-01-04T18:17:00,tram,Tram Stop H,Scooter Stop I,2.5,12,True,monthly_pass,Tram ride towards the dinner area.
trip_50b10228373a_00004_leg_003,trip_50b10228373a_00004,3,2026-01-04T18:17:00,2026-01-04T18:23:00,shared_scooter,Scooter Stop I,Friends' Dinner Spot,0.9,6,False,none,Shared scooter for the final short segment.
trip_50b10228373a_00005_leg_001,trip_50b10228373a_00005,1,2026-01-05T08:15:00,2026-01-05T08:20:00,walking,Apartment Berlin-Mitte,Friedrichstraße U‑Bahnhof,0.4,5,False,none,Walk from home to the nearest U‑Bahnhof.
trip_50b10228373a_00005_leg_002,trip_50b10228373a_00005,2,2026-01-05T08:20:00,2026-01-05T08:35:00,subway,Friedrichstraße U‑Bahnhof,Mitte U‑Bahnhof,5.0,15,True,monthly_pass,Subway ride covering the main part of the commute.
trip_50b10228373a_00005_leg_003,trip_50b10228373a_00005,3,2026-01-05T08:35:00,2026-01-05T08:40:00,shared_bike,Mitte U‑Bahnhof,Tech Hub Office,1.5,5,False,none,Shared e‑bike for the last kilometre to the office.
trip_50b10228373a_00006_leg_001,trip_50b10228373a_00006,1,2026-01-05T17:30:00,2026-01-05T17:35:00,walking,Tech Hub Office,Tram Stop A,0.4,5,False,none,Walk to the nearest tram stop.
trip_50b10228373a_00006_leg_002,trip_50b10228373a_00006,2,2026-01-05T17:35:00,2026-01-05T17:50:00,tram,Tram Stop A,Gym Tram Stop,3.0,15,True,monthly_pass,Tram ride towards the gym area.
trip_50b10228373a_00006_leg_003,trip_50b10228373a_00006,3,2026-01-05T17:50:00,2026-01-05T17:56:00,shared_scooter,Gym Tram Stop,FitX Gym Entrance,0.9,6,False,none,Shared scooter for the short last segment.
trip_50b10228373a_00006_leg_004,trip_50b10228373a_00006,4,2026-01-05T17:56:00,2026-01-05T18:00:00,walking,FitX Gym Entrance,FitX Gym,0.3,4,False,none,Final walk into the gym.
trip_50b10228373a_00007_leg_001,trip_50b10228373a_00007,1,2026-01-05T19:30:00,2026-01-05T19:35:00,walking,FitX Gym,U‑Bahnhof Gym,0.4,5,False,none,Walk to the nearest subway station.
