leg_id,trip_id,sequence_no,start_ts,end_ts,mode,origin_label,destination_label,distance_km,duration_min,ticket_required,ticket_product_used,leg_note
leg_001_1,trip_001,1,2026-01-04T08:00:00,2026-01-04T08:05:00,walking,Home,Kreuzberg S-Bahn Station,0.4,5,False,none,Walk to nearest S‑Bahn station.
leg_001_2,trip_001,2,2026-01-04T08:05:00,2026-01-04T08:35:00,public_transport,Kreuzberg S-Bahn Station,Alexanderplatz Station,12.0,30,True,monthly_pass,S‑Bahn ride to city centre.
leg_001_3,trip_001,3,2026-01-04T08:35:00,2026-01-04T08:40:00,shared_scooter,Alexanderplatz Station,Tech Hub Berlin,0.6,5,False,none,E‑scooter for last‑mile to office.
leg_002_1,trip_002,1,2026-01-04T17:30:00,2026-01-04T17:35:00,walking,Tech Hub Berlin,Alexanderplatz Station,0.4,5,False,none,Walk to the S‑Bahn platform.
leg_002_2,trip_002,2,2026-01-04T17:35:00,2026-01-04T18:05:00,public_transport,Alexanderplatz Station,Kreuzberg S-Bahn Station,12.0,30,True,monthly_pass,S‑Bahn ride back to the neighbourhood.
leg_002_3,trip_002,3,2026-01-04T18:05:00,2026-01-04T18:10:00,walking,Kreuzberg S-Bahn Station,Home,0.4,5,False,none,Final walk home.
leg_003_1,trip_003,1,2026-01-05T08:00:00,2026-01-05T08:05:00,walking,Home,Kreuzberg S-Bahn Station,0.4,5,False,none,Walk to S‑Bahn.
leg_003_2,trip_003,2,2026-01-05T08:05:00,2026-01-05T08:35:00,public_transport,Kreuzberg S-Bahn Station,Alexanderplatz Station,12.0,30,True,monthly_pass,S‑Bahn ride.
leg_003_3,trip_003,3,2026-01-05T08:35:00,2026-01-05T08:40:00,shared_scooter,Alexanderplatz Station,Tech Hub Berlin,0.6,5,False,none,E‑scooter for last‑mile.
leg_004_1,trip_004,1,2026-01-05T17:30:00,2026-01-05T17:35:00,walking,Tech Hub Berlin,Alexanderplatz Station,0.4,5,False,none,Walk to station.
leg_004_2,trip_004,2,2026-01-05T17:35:00,2026-01-05T18:05:00,public_transport,Alexanderplatz Station,Kreuzberg S-Bahn Station,12.0,30,True,monthly_pass,S‑Bahn ride home.
leg_004_3,trip_004,3,2026-01-05T18:05:00,2026-01-05T18:10:00,walking,Kreuzberg S-Bahn Station,Home,0.4,5,False,none,Final walk home.
leg_005_1,trip_005,1,2026-01-06T08:00:00,2026-01-06T08:05:00,walking,Home,Kreuzberg S-Bahn Station,0.4,5,False,none,Walk to station.
leg_005_2,trip_005,2,2026-01-06T08:05:00,2026-01-06T08:35:00,public_transport,Kreuzberg S-Bahn Station,Alexanderplatz Station,12.0,30,True,monthly_pass,S‑Bahn ride.
leg_005_3,trip_005,3,2026-01-06T08:35:00,2026-01-06T08:40:00,shared_scooter,Alexanderplatz Station,Tech Hub Berlin,0.6,5,False,none,E‑scooter last mile.
