leg_id,trip_id,sequence_no,start_ts,end_ts,mode,origin_label,destination_label,distance_km,duration_min,ticket_required,ticket_product_used,leg_note
trip_17078a4ad135_00001_leg_001,trip_17078a4ad135_00001,1,2026-01-01T07:30:00,2026-01-01T07:38:00,walking,Mia's apartment,München Hbf,0.5,8,False,none,Walk to Munich central station
trip_17078a4ad135_00001_leg_002,trip_17078a4ad135_00001,2,2026-01-01T07:45:00,2026-01-01T10:45:00,regional_train,München Hbf,Düsseldorf Hbf,600.0,180,True,single_ticket,Regional train (IC) to Düsseldorf
trip_17078a4ad135_00001_leg_003,trip_17078a4ad135_00001,3,2026-01-01T10:45:00,2026-01-01T10:50:00,bike,Düsseldorf Hbf,Düsseldorf office,1.0,5,False,none,Bike the last kilometre to the office
trip_17078a4ad135_00002_leg_001,trip_17078a4ad135_00002,1,2026-01-01T17:30:00,2026-01-01T17:38:00,walking,Düsseldorf office,Düsseldorf Hbf,1.0,8,False,none,Walk to Düsseldorf station
trip_17078a4ad135_00002_leg_002,trip_17078a4ad135_00002,2,2026-01-01T17:45:00,2026-01-01T20:45:00,regional_train,Düsseldorf Hbf,München Hbf,600.0,180,True,single_ticket,Regional train back to Munich
trip_17078a4ad135_00002_leg_003,trip_17078a4ad135_00002,3,2026-01-01T20:45:00,2026-01-01T20:50:00,bike,München Hbf,Mia's apartment,0.5,5,False,none,Bike home from the station
trip_17078a4ad135_00003_leg_001,trip_17078a4ad135_00003,1,2026-01-01T21:30:00,2026-01-01T21:40:00,bike,Mia's apartment,Bavarian Bistro,2.0,10,False,none,Bike to restaurant
trip_17078a4ad135_00004_leg_001,trip_17078a4ad135_00004,1,2026-01-01T23:00:00,2026-01-01T23:10:00,walking,Bavarian Bistro,Mia's apartment,0.5,10,False,none,Walk home
trip_17078a4ad135_00005_leg_001,trip_17078a4ad135_00005,1,2026-01-02T07:30:00,2026-01-02T07:38:00,walking,Mia's apartment,München Hbf,0.5,8,False,none,Walk to Munich central station
trip_17078a4ad135_00005_leg_002,trip_17078a4ad135_00005,2,2026-01-02T07:45:00,2026-01-02T10:45:00,regional_train,München Hbf,Düsseldorf Hbf,600.0,180,True,single_ticket,Regional train to Düsseldorf
trip_17078a4ad135_00005_leg_003,trip_17078a4ad135_00005,3,2026-01-02T10:45:00,2026-01-02T10:50:00,bike,Düsseldorf Hbf,Düsseldorf office,1.0,5,False,none,Bike the last kilometre to work
trip_17078a4ad135_00006_leg_001,trip_17078a4ad135_00006,1,2026-01-02T17:30:00,2026-01-02T17:38:00,walking,Düsseldorf office,Düsseldorf Hbf,1.0,8,False,none,Walk to station
trip_17078a4ad135_00006_leg_002,trip_17078a4ad135_00006,2,2026-01-02T17:45:00,2026-01-02T20:45:00,regional_train,Düsseldorf Hbf,München Hbf,600.0,180,True,single_ticket,Regional train back to Munich
trip_17078a4ad135_00006_leg_003,trip_17078a4ad135_00006,3,2026-01-02T20:45:00,2026-01-02T20:50:00,bike,München Hbf,Mia's apartment,0.5,5,False,none,Bike home
trip_17078a4ad135_00007_leg_001,trip_17078a4ad135_00007,1,2026-01-02T21:30:00,2026-01-02T21:45:00,car_sharing,Mia's apartment,Tech meetup venue,3.0,15,False,none,Drive shared car to meetup
trip_17078a4ad135_00008_leg_001,trip_17078a4ad135_00008,1,2026-01-02T22:30:00,2026-01-02T22:40:00,walking,Tech meetup venue,Mia's apartment,0.8,10,False,none,Walk home
trip_17078a4ad135_00009_leg_001,trip_17078a4ad135_00009,1,2026-01-03T09:00:00,2026-01-03T09:08:00,walking,Mia's apartment,München Hbf,0.5,8,False,none,Walk to Munich central station
trip_17078a4ad135_00009_leg_002,trip_17078a4ad135_00009,2,2026-01-03T09:15:00,2026-01-03T11:45:00,regional_train,München Hbf,Stuttgart Hbf,220.0,150,True,single_ticket,Regional train to Stuttgart
trip_17078a4ad135_00009_leg_003,trip_17078a4ad135_00009,3,2026-01-03T11:45:00,2026-01-03T11:55:00,bike,Stuttgart Hbf,Family home,5.0,10,False,none,Bike from station to family house
trip_17078a4ad135_00010_leg_001,trip_17078a4ad135_00010,1,2026-01-03T18:00:00,2026-01-03T18:10:00,bike,Family home,Stuttgart Hbf,5.0,10,False,none,Bike to Stuttgart station
trip_17078a4ad135_00010_leg_002,trip_17078a4ad135_00010,2,2026-01-03T18:15:00,2026-01-03T20:45:00,regional_train,Stuttgart Hbf,München Hbf,220.0,150,True,single_ticket,Regional train back to Munich
trip_17078a4ad135_00010_leg_003,trip_17078a4ad135_00010,3,2026-01-03T20:45:00,2026-01-03T20:53:00,walking,München Hbf,Mia's apartment,0.5,8,False,none,Walk home from station
